ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
8.5000000000000000e+01,7.0000000000000000e+00,"1BIeIre08100007","IRE",1.0000000000000000e+01,-9.8000000000000000e+01,
8.6000000000000000e+01,8.0000000000000000e+00,"1BIeIre08100008","IRE",1.0000000000000000e+01,-9.9000000000000000e+01,
8.7000000000000000e+01,1.0000000000000000e+00,"1BFrLim07070001","LIM",1.3000000000000000e+01,-9.6950000000000003e+01,
8.8000000000000000e+01,2.0000000000000000e+00,"1BFrLim07070002","LIM",1.3000000000000000e+01,-9.7590000000000003e+01,
8.9000000000000000e+01,3.0000000000000000e+00,"1BFrLim07070003","LIM",1.3000000000000000e+01,-9.9519999999999996e+01,
9.0000000000000000e+01,4.0000000000000000e+00,"1BFrLim07070004","LIM",1.3000000000000000e+01,-1.0080000000000000e+02,
9.1000000000000000e+01,5.0000000000000000e+00,"1BFrLim07070005","LIM",1.3000000000000000e+01,-9.9519999999999996e+01,
9.2000000000000000e+01,6.0000000000000000e+00,"1BFrLim07070006","LIM",1.3000000000000000e+01,-1.0080000000000000e+02,
9.3000000000000000e+01,7.0000000000000000e+00,"1BFrLim07070007","LIM",1.3000000000000000e+01,-1.0080000000000000e+02,
9.4000000000000000e+01,8.0000000000000000e+00,"1BFrLim07070008","LIM",1.3000000000000000e+01,-1.0273000000000000e+02,
9.5000000000000000e+01,9.0000000000000000e+00,"1BFrLim07070009","LIM",1.3000000000000000e+01,-1.0530000000000000e+02,
9.6000000000000000e+01,1.0000000000000000e+01,"1BFrLim07070010","LIM",1.3000000000000000e+01,-1.0594000000000000e+02,
9.7000000000000000e+01,1.1000000000000000e+01,"1BFrLim07070011","LIM",1.3000000000000000e+01,-1.0273000000000000e+02,
9.8000000000000000e+01,1.2000000000000000e+01,"1BFrLim07070012","LIM",1.3000000000000000e+01,-1.0530000000000000e+02,
9.9000000000000000e+01,1.3000000000000000e+01,"1BFrLim07070013","LIM",1.3000000000000000e+01,-1.0530000000000000e+02,
