Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2019,JAG-19-26,S-19-26,Authentic SLO,Slovenia,-2.875033288,-27.0129,2.81396038,3.944833548,8.1,0.989,85.7,1.76,0.633,10.7,1.18,46.5,96.9,32.4,30.9,32,451,3.46,6.3,27.2,5.89,1.76,2.58,57.7,21.5,7.61,2.68,0.756,57.3
Strawberry,2019,JAG-19-27,S-19-27,Authentic SLO,Slovenia,-4.581189262,-28.30814487,2.885839407,3.438238172,8.15,0.904,48.3,1.27,0.549,11.6,1.02,28.6,54.1,25.5,9.74,67.7,162,2,5.83,12.38,2.85,0.832,2.42,626,3.48,2.25,2.99,NaN,28.7
Strawberry,2019,JAG-19-32,S-19-32,Authentic SLO,Slovenia,-4.529267247,-26.02495371,4.609655182,4.155650785,19.1,0.957,107,1.36,0.677,13.1,1.29,72,103,12,21.2,71.5,93.8,1.43,3.2,38,8.81,0.986,3.29,506,2.51,5.24,5.12,0.476,82.6
Strawberry,2019,JAG-19-33,S-19-33,Authentic SLO,Slovenia,-2.838096941,-26.53642601,7.672878629,0.152444731,18,0.843,105,1.15,0.517,14.1,2.24,54.4,103,13.5,11.8,77.6,233,2.8,4.01,34,5.59,1.43,9.32,114,NaN,5.37,8.38,NaN,58.3
Strawberry,2019,JAG-19-34,S-19-34,Authentic SLO,Slovenia,-6.837175548,-28.14142772,-0.094125473,1.918856204,11.8,0.983,83.1,1.58,0.618,14.5,1.17,71.3,96,17.5,25.2,199,609,3.32,7.49,19.6,2.5,3.7,4.47,313,1.95,6.63,8.63,NaN,34.4
Strawberry,2019,JAG-19-36,S-19-36,Authentic SLO,Slovenia,-3.331213533,-27.00358343,5.958776304,2.289188644,19.8,0.769,43.6,1.74,0.588,8.34,1.4,33.8,66.3,13.3,23.9,44.6,617,3.8,8,5.47,9.5,2.58,5.29,113,8.13,15.7,3.68,NaN,39.2
Strawberry,2019,JAG-19-38,S-19-38,Authentic SLO,Slovenia,-5.575828429,-26.6241433,2.746295226,4.227654458,8.66,0.829,9.69,1.56,0.556,16,0.758,NaN,NaN,20.5,14.5,40.2,479,3.53,12,6.72,5.01,4.13,2.43,156,139,2.63,5.2,2.43,NaN
Strawberry,2019,JAG-19-39,S-19-39,Authentic SLO,Slovenia,-3.859733354,-26.96484806,1.332152963,1.553678168,10.7,0.779,2.72,1.42,0.752,10.8,0.797,NaN,NaN,16.2,13.5,40.6,147,4.21,5.88,5.11,2.73,4.17,1.39,570,4.72,11.1,3.35,1.85,16.8
Strawberry,2019,JAG-19-41,S-19-41,Authentic SLO,Slovenia,-1.130372074,-27.42171804,4.619318059,4.904487882,40.4,0.968,5.55,1.55,0.582,12.2,1.12,NaN,NaN,14.4,12.3,25,47.2,2.75,5.46,7.89,18.3,6.48,3.89,938,NaN,5.48,2.65,1.05,NaN
Strawberry,2019,JAG-19-42,S-19-42,Authentic SLO,Slovenia,-2.571374675,-28.09280972,4.550573063,3.620947643,11.6,1.16,7.96,2.06,0.675,12.8,1.42,12.3,57.5,25.6,19.3,31.9,65,4.38,22.3,4.3,5.6,3.02,1.67,359,3.46,2.91,4.04,1.11,NaN
Strawberry,2019,JAG-19-43,S-19-43,Authentic SLO,Slovenia,-4.150066143,-27.83991281,1.215742245,1.842970547,9.23,0.878,NaN,1.79,0.496,14.5,0.864,NaN,NaN,17.9,15.2,22.8,45.3,1.44,3.93,NaN,2.5,2.09,1.82,373,16.6,1.2,2.59,1.13,NaN
Strawberry,2019,JAG-19-44,S-19-44,Authentic SLO,Slovenia,-3.607079212,-27.65161042,3.954443183,2.305709924,8.2,1.24,13.9,2.12,0.473,13.4,1.4,21.8,39.1,15,14.1,32.6,79.5,2.64,7.19,11.9,2.5,3.88,2.52,1450,3.23,3.66,4.13,2.26,38.6
Strawberry,2019,JAG-19-45,S-19-45,Authentic SLO,Slovenia,-0.57970097,-26.76333175,3.43245528,2.439346196,NaN,0.821,NaN,1.61,0.665,9.71,1.28,13.4,30.5,19.2,14.1,55.3,142,3.86,6.66,NaN,13.6,6.41,1.89,162,2.68,5.24,3.45,1.18,NaN
Strawberry,2019,JAG-19-46,S-19-46,Authentic SLO,Slovenia,-1.901227232,-27.81736361,2.819521726,3.593920101,9.83,0.923,NaN,1.86,0.638,12.2,1.38,18.3,42.8,24.9,19.7,67.1,511,4.15,7.36,5.4,2.5,3.43,3,114,28.1,2.75,7.26,1.51,NaN
Strawberry,2019,JAG-19-47,S-19-47,Authentic SLO,Slovenia,-0.600545074,-27.07285242,9.223240313,3.090439327,7.77,1.18,11.6,1.73,0.439,12.4,1.37,33.4,48.6,14.5,11,123,226,2.03,7.71,10.4,NaN,1.56,3.04,506,35,1.81,2.89,1.41,NaN
Strawberry,2019,JAG-19-48,S-19-48,Authentic SLO,Slovenia,-0.380907954,-27.04987815,4.670581523,2.272225025,15.3,0.82,3.43,1.36,0.536,11.9,0.947,NaN,NaN,12.7,18.7,29.6,210,2.93,5.18,3.02,3.39,1.26,2.13,149,3.15,1.28,5.25,0.829,NaN
Strawberry,2019,JAG-19-49,S-19-49,Authentic SLO,Slovenia,-1.516508122,-26.90379708,1.781769818,2.707015649,17.5,1.05,16.3,1.78,0.696,13.6,0.641,12.4,43.3,53.6,20.3,51.1,694,5.71,10.5,NaN,6.41,3.03,1.03,169,48.8,3.56,3.25,0.783,NaN
Strawberry,2019,JAG-19-50,S-19-50,Authentic SLO,Slovenia,1.452411261,-26.93674414,2.77142005,2.638930518,4.95,1.03,15.9,1.79,0.676,12,1.05,22.6,28.7,20,22.3,72.5,101,27.8,23.2,6.78,5.54,8.17,1.19,570,1.93,6,2.61,1.31,NaN
Strawberry,2019,JAG-19-51,S-19-51,Authentic SLO,Slovenia,-0.223253305,-27.3574831,7.429326055,2.650324151,14.6,1.22,2.68,2.23,0.773,17,1.26,12.8,33.4,48.6,21.6,45.2,1225,6.15,11.6,5.97,9.27,4.63,4.31,96.8,54.6,1.23,9.76,0.614,NaN
Strawberry,2019,JAG-19-57,S-19-57,Authentic SLO,Slovenia,1.260931048,-26.39228524,3.393831741,4.705507292,14.8,1.24,104,2.25,0.564,12.5,2.04,192,167,31.3,67,165,333,4.52,10.7,33.8,15.8,4.3,5.02,442,12.8,10.36,8.34,1.51,77
Strawberry,2020,JAG-20-03,S-20-03,Authentic SLO,Slovenia,3.64467204,-26.93573876,-2.002758129,-0.021239395,6.747828402,0.810617279,NaN,1.234917192,0.595440845,12.08730288,1.828364439,15.42030818,NaN,22.92826304,13.12774293,159.6662354,301.9485616,4.242605723,7.099926075,NaN,NaN,1.157458454,4.114446118,197.785405,1.168987326,4.722796979,7.574686324,NaN,NaN
