Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2020,JAG-20-07,S-20-07,Authentic SLO,Slovenia,0.57,-27.62,0.97,-2.73,19.354,0.880,4.606,1.605,0.646,10.087,2.251,17.414,13.682,19.134,12.993,60.956,181.043,3.430,6.966,7.169,11.353,0.835,2.869,386.026,2.629,3.707,3.013,0.478,12.412
Strawberry,2020,JAG-20-08,S-20-08,Authentic SLO,Slovenia,0.25,-26.83,3.89,1.96,13.420,0.820,3.538,1.529,0.606,8.972,1.834,14.072,17.230,17.582,20.678,29.276,224.585,2.224,5.536,3.371,4.153,2.118,2.227,235.576,6.372,4.244,2.784,0.142,1.188
Strawberry,2020,JAG-20-10,S-20-10,Authentic SLO,Slovenia,0.58,-26.25,1.54,1.70,9.317,1.118,11.992,1.829,0.857,13.334,2.146,23.159,29.689,19.149,26.779,45.024,110.364,2.643,7.517,19.317,12.038,4.598,4.599,917.808,3.430,4.553,3.268,0.428,24.509
Strawberry,2020,JAG-20-11,S-20-11,Authentic SLO,Slovenia,-0.76,-26.95,3.72,1.69,9.370,1.073,55.171,1.693,0.678,12.859,1.677,84.356,86.981,13.539,39.783,53.572,154.449,3.297,6.331,14.278,9.517,2.877,1.614,397.020,3.513,7.863,4.688,0.341,5.000
Strawberry,2020,JAG-20-12,S-20-12,Authentic SLO,Slovenia,-1.62,-25.56,3.49,1.44,4.662,0.926,15.284,1.346,0.587,11.901,1.795,13.059,29.657,16.250,18.714,28.766,222.175,2.983,6.367,13.906,1.500,1.881,3.814,166.721,6.053,2.670,5.149,0.499,14.850
Strawberry,2020,JAG-20-14,S-20-14,Authentic SLO,Slovenia,-0.33,-26.46,8.44,0.66,7.127,1.023,42.124,1.521,0.491,11.455,1.226,58.316,67.300,13.069,26.764,43.767,111.261,1.765,7.459,17.212,4.196,1.610,1.772,358.204,10.540,3.183,1.539,0.319,24.768
Strawberry,2020,JAG-20-15,S-20-15,Authentic SLO,Slovenia,-1.74,-26.20,-0.51,-1.92,12.267,0.869,2.828,1.584,0.655,10.813,1.653,10.238,15.187,10.496,23.940,23.640,161.223,3.700,8.733,7.544,7.799,1.437,2.148,557.671,4.528,3.134,4.750,0.571,6.748
Strawberry,2020,JAG-20-16,S-20-16,Authentic SLO,Slovenia,1.25,-26.50,2.67,2.41,4.405,0.758,1.919,1.539,0.595,11.498,1.789,9.468,15.684,36.411,14.382,58.849,540.646,3.340,7.978,0.659,4.028,9.069,3.175,61.544,43.308,8.747,6.840,0.553,5.000
Strawberry,2020,JAG-20-20,S-20-20,Authentic SLO,Slovenia,-0.14,-26.29,2.47,4.24,12.658,1.141,2.928,1.965,0.797,11.639,2.587,13.038,25.944,12.474,27.695,33.823,135.787,4.233,10.495,13.956,0.012,0.870,3.349,650.220,10.468,3.494,4.411,0.448,11.455
Strawberry,2020,JAG-20-22,S-20-22,Authentic SLO,Slovenia,-0.85,-25.93,5.86,5.96,14.837,0.905,33.170,1.311,0.487,10.505,1.560,19.679,54.140,15.835,16.360,20.544,217.676,2.230,6.317,24.249,3.757,1.161,3.848,75.032,41.719,4.143,4.720,0.327,21.972
